Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
United States of America,Soybeans,2019,1080.1,43.58,33.4,29134.8
China,Maize,2006,2233.6,68.14,17.3,29950.8
India,Soybeans,2000,1468.6,246.79,16.6,34349.3
Brazil,Wheat,2015,1818.8,201.36,26.1,40358.2
China,"Rice, paddy",2016,2676.7,480.47,32.3,41820.8
United States of America,Potatoes,2016,960.5,373.19,23.0,223068.0
China,"Rice, paddy",2013,1884.2,398.06,21.9,36957.3
China,"Rice, paddy",2009,2896.4,255.98,28.3,40102.3
Brazil,Wheat,2004,1404.8,272.32,23.6,36850.8
India,Potatoes,2012,1138.1,328.23,15.3,183316.1
India,Wheat,2004,1803.7,54.56,33.3,31017.7
Brazil,Soybeans,2009,2605.7,86.51,16.8,31417.0
Australia,Potatoes,2006,1483.8,15.63,29.3,205535.6
Australia,"Rice, paddy",2014,2454.4,281.78,10.1,37819.8
India,Wheat,2008,607.7,338.23,27.6,39830.8
Australia,Wheat,2012,2957.4,415.96,21.7,48747.5
China,"Rice, paddy",2005,551.9,369.52,34.0,32984.4
China,Maize,2016,505.4,250.81,27.2,37712.7
Brazil,Maize,2011,952.3,277.66,29.9,31030.5
Brazil,Maize,2005,2585.7,64.19,12.3,35743.3
Brazil,Potatoes,2000,1086.7,411.46,21.3,250404.7
China,Maize,2008,624.9,49.72,28.9,30050.6
Brazil,"Rice, paddy",2010,716.0,312.76,18.5,31567.7
United States of America,Soybeans,2002,1686.4,70.01,15.9,27423.1
China,Soybeans,2013,1025.2,267.43,30.8,34862.9
China,Soybeans,2014,2479.4,378.82,18.9,37319.7
Brazil,Wheat,2007,650.2,227.15,22.7,38555.5
India,Maize,2010,1829.7,478.68,18.0,44600.2
United States of America,"Rice, paddy",2007,1709.1,332.02,19.5,33786.3
China,Wheat,2014,2991.0,446.69,22.8,50531.0
Australia,Wheat,2015,2585.1,366.28,25.3,43817.6
China,"Rice, paddy",2012,2916.4,233.91,24.3,40783.4
India,Soybeans,2005,2463.8,471.74,12.5,38878.0
Brazil,Maize,2007,473.0,90.16,29.1,25901.5
United States of America,Potatoes,2016,1372.6,134.72,18.7,193640.9
United States of America,Potatoes,2020,1631.1,392.98,33.7,211008.2
Australia,Maize,2019,866.1,442.4,25.4,36191.0
India,Maize,2006,781.3,452.35,18.5,37208.5
India,Maize,2004,870.4,316.52,34.4,33148.3
China,Soybeans,2008,2356.7,29.62,35.0,26094.1
China,Wheat,2020,1369.8,203.61,24.0,39699.3
United States of America,Potatoes,2020,2427.9,417.83,14.1,178728.0
United States of America,Wheat,2009,1704.2,415.21,20.5,40879.7
Brazil,"Rice, paddy",2014,2484.4,123.03,25.4,32801.2
China,"Rice, paddy",2014,515.6,389.1,22.3,37773.1
Brazil,"Rice, paddy",2012,1104.5,6.43,17.5,28429.0
India,"Rice, paddy",2006,2666.8,456.29,16.6,44853.8
Australia,Soybeans,2006,321.9,5.12,21.5,21916.6
Brazil,"Rice, paddy",2002,1093.8,280.17,17.5,31606.7
India,Soybeans,2003,836.8,254.45,13.9,27732.6
India,Potatoes,2016,460.1,153.01,32.4,197422.8
Australia,Soybeans,2006,1963.4,187.94,34.6,33303.6
India,Soybeans,2020,2579.4,216.48,30.7,34476.7
India,Wheat,2010,2998.6,131.9,24.4,42654.6
China,Potatoes,2015,1532.0,193.21,27.9,191594.0
United States of America,"Rice, paddy",2020,707.5,396.44,32.2,32658.3
Brazil,Potatoes,2009,1326.5,435.7,26.6,217344.5
Australia,Potatoes,2000,1505.8,229.09,16.5,167968.3
Brazil,Soybeans,2003,1062.5,417.74,17.9,33796.5
India,Potatoes,2005,1903.5,322.93,19.9,199889.6
India,Wheat,2017,586.1,56.56,17.3,33828.8
Brazil,Wheat,2013,803.1,50.31,19.1,33052.1
China,Soybeans,2012,783.8,323.71,21.6,27678.0
Australia,Soybeans,2017,2866.4,490.22,23.6,42944.4
United States of America,Wheat,2005,1886.3,31.29,34.0,32247.5
India,Wheat,2010,956.0,321.33,16.9,35262.7
China,"Rice, paddy",2012,1948.1,469.58,26.8,39389.7
China,Potatoes,2001,2970.0,474.56,12.0,173581.5
China,Soybeans,2002,909.4,10.96,25.1,29648.5
Brazil,Soybeans,2018,868.0,145.5,29.7,32379.2
United States of America,Potatoes,2004,693.2,17.2,21.8,209376.7
Australia,Wheat,2009,1042.8,253.82,29.7,39652.9
United States of America,Potatoes,2007,1871.9,124.78,26.5,211338.6
India,Maize,2014,1385.8,51.65,11.5,29221.2
China,"Rice, paddy",2017,725.8,126.51,13.9,26954.8
Brazil,Wheat,2010,661.6,471.92,30.1,40901.8
Brazil,Potatoes,2007,2081.5,223.25,15.6,199059.3
United States of America,Soybeans,2009,953.1,199.55,10.5,30530.3
Australia,"Rice, paddy",2006,2065.0,387.08,30.3,34454.0
United States of America,Wheat,2012,964.9,451.75,12.6,38432.8
India,"Rice, paddy",2016,2207.2,145.59,14.1,31776.0
Brazil,Wheat,2012,1345.1,281.54,30.1,39692.5
India,Maize,2003,1340.8,79.54,27.4,33345.9
United States of America,Maize,2004,2828.2,9.75,20.9,34173.6
United States of America,Maize,2016,2103.4,47.19,22.7,34241.6
Brazil,Wheat,2006,1158.5,266.21,22.8,35634.5
China,"Rice, paddy",2014,1702.5,281.56,33.6,34403.6
United States of America,Soybeans,2008,988.5,131.64,11.0,25060.0
India,"Rice, paddy",2012,1412.4,289.67,19.8,35015.0
Brazil,Soybeans,2020,1447.5,70.82,22.8,35789.5
Brazil,Potatoes,2017,1179.4,360.96,11.9,177091.9
Brazil,Wheat,2016,595.4,330.08,18.0,37897.8
Australia,"Rice, paddy",2002,2730.6,261.73,12.9,33027.5
Australia,Potatoes,2019,2114.1,455.85,22.6,196056.4
China,Wheat,2013,1251.6,277.68,14.7,35506.5
United States of America,Soybeans,2017,1646.9,107.94,16.8,31551.4
China,Wheat,2010,2441.1,66.76,23.0,36625.7
Australia,"Rice, paddy",2007,852.1,93.49,13.1,28384.6
China,Maize,2002,2573.5,157.13,31.0,40588.8
Brazil,Soybeans,2008,1141.8,319.09,10.2,30319.7
China,Potatoes,2011,1697.7,416.0,26.5,218857.7
Australia,Wheat,2006,2571.8,323.9,18.5,39719.5
United States of America,Potatoes,2002,898.4,135.11,16.1,191838.8
India,Potatoes,2008,2277.2,178.03,30.5,190075.8
Australia,Potatoes,2006,787.1,383.13,18.5,185021.3
Brazil,"Rice, paddy",2007,993.3,17.92,20.3,24941.9
China,Wheat,2004,1360.5,347.97,33.4,41923.5
China,Soybeans,2007,1655.8,10.5,16.3,28739.4
Australia,"Rice, paddy",2012,1617.9,356.16,31.7,34666.2
Brazil,Potatoes,2000,2419.2,100.4,13.3,186307.9
India,Potatoes,2009,1123.0,128.62,24.8,191535.8
Brazil,"Rice, paddy",2004,2181.3,298.22,21.5,37014.2
China,"Rice, paddy",2003,2051.3,360.92,31.6,36870.4
Australia,Potatoes,2018,1584.4,268.54,29.3,189903.6
United States of America,Potatoes,2000,1929.8,458.25,11.3,187167.3
India,Maize,2014,2977.3,147.37,27.8,37701.3
China,Potatoes,2000,2501.1,42.82,25.6,196270.1
China,Soybeans,2013,1604.9,168.32,13.9,32488.9
